Person Number,Sex,Race,Age,Undergraduate School Name,Undergraduate GPA,Undergraduate Major,Graduate School Name,Graduate GPA,Graduate Major,Activity1,Activity2,Activity3,Activity4,Activity5,Activity6,Activity7,Skill1,Skill2,Skill3,Skill4,Skill5,Is Employed
0,1,2,22,4,3.6,2,4,3.6,2,6,3,16,18,26,14,15,14,10,7,9,1,1
1,1,5,38,21,3.5,5,21,3.5,5,1,3,25,17,24,15,0,11,14,10,15,0,1
2,1,5,24,10,3.2,6,10,3.2,6,5,1,19,20,14,15,0,8,2,15,5,0,1
3,1,3,30,18,3.3,6,18,3.3,6,3,5,27,15,21,17,0,10,6,7,9,0,1
4,1,3,23,10,3.7,2,10,3.7,2,6,4,18,20,25,21,19,7,16,17,10,12,1
5,1,0,25,13,3.5,5,13,3.5,5,5,2,23,18,22,17,16,11,3,2,1,17,1
6,1,4,27,14,3.5,3,14,3.5,3,6,3,20,18,15,16,21,7,6,13,3,14,1
7,1,5,24,2,3.7,4,2,3.7,4,1,2,21,22,26,20,16,15,5,11,1,10,1
8,1,0,22,25,3.3,6,25,3.3,6,6,5,17,22,20,15,0,5,1,9,15,0,1
9,1,3,23,19,3.4,2,19,3.4,2,1,6,14,26,18,20,0,9,1,10,2,0,1
10,1,2,26,11,3.5,6,11,3.5,6,6,2,22,20,23,26,15,15,6,9,5,4,1
11,1,1,34,12,3.2,2,12,3.2,2,4,1,14,21,18,16,0,16,3,9,7,0,1
12,1,2,31,27,3.5,2,27,3.5,2,5,1,25,15,18,17,0,10,12,3,4,0,1
13,1,3,27,9,3.6,4,9,3.6,4,6,3,16,21,26,25,23,3,1,11,7,14,1
14,1,1,34,14,3.5,6,14,3.5,6,3,4,25,17,24,21,0,6,1,4,3,0,1
15,1,3,31,23,3.3,2,23,3.3,2,4,2,24,17,27,15,0,9,2,14,4,0,1
16,1,4,23,1,3.6,6,1,3.6,6,2,6,18,19,14,24,23,10,12,11,5,3,1
17,1,4,27,12,3.2,4,12,3.2,4,5,4,26,24,18,21,0,9,1,10,13,0,1
18,1,5,35,2,3.5,1,2,3.5,1,3,4,16,22,24,18,26,2,17,7,12,8,1
19,1,5,25,15,3.2,4,15,3.2,4,2,4,23,14,19,24,0,11,14,6,17,0,1
20,1,2,38,15,3.4,6,15,3.4,6,4,2,27,25,23,16,0,3,8,9,6,0,1
21,1,1,37,28,3.4,2,28,3.4,2,2,3,20,18,14,24,0,3,17,8,9,0,1
22,1,5,22,15,3.3,6,15,3.3,6,2,6,25,27,14,21,0,3,7,13,17,0,1
23,1,4,30,21,3.2,4,21,3.2,4,6,4,16,24,22,21,0,11,7,9,4,0,1
24,1,3,37,13,3.5,3,13,3.5,3,4,5,26,21,16,15,0,16,12,7,14,0,1
25,1,3,22,12,3.5,4,12,3.5,4,2,6,27,25,14,20,18,3,9,16,14,11,1
26,1,5,25,6,3.7,3,6,3.7,3,1,2,17,18,26,24,14,15,8,12,10,6,1
27,1,0,37,9,3.7,5,9,3.7,5,4,2,18,24,14,16,20,14,16,13,7,3,1
28,1,4,26,16,3.5,1,16,3.5,1,2,4,25,26,22,16,0,5,10,15,17,0,1
29,1,3,36,23,3.2,3,23,3.2,3,6,3,14,27,21,24,0,14,4,7,3,0,1
30,1,4,38,19,3.7,4,19,3.7,4,1,5,17,19,20,27,16,10,12,5,4,17,1
31,1,0,29,23,3.3,6,23,3.3,6,4,1,24,22,25,23,0,9,11,2,14,0,1
32,1,3,37,22,3.3,4,22,3.3,4,1,4,16,18,17,19,0,10,4,16,9,0,1
33,1,3,32,16,3.4,4,16,3.4,4,1,4,21,17,14,16,0,8,10,9,12,0,1
34,1,0,36,17,3.5,5,17,3.5,5,6,2,15,27,23,21,0,6,13,12,4,0,1
35,1,2,38,7,3.5,5,7,3.5,5,1,2,22,21,15,25,20,2,7,16,1,12,1
