Person Number,Sex,Race,Age,Undergraduate School Name,Undergraduate GPA,Undergraduate Major,Graduate School Name,Graduate GPA,Graduate Major,Activity1,Activity2,Activity3,Activity4,Activity5,Activity6,Activity7,Skill1,Skill2,Skill3,Skill4,Skill5,Is Employed
0,Female,Other,39,Massachusetts Institute of Technology,3.6,Physics,University of Tokyo,3.7,Electrical Engineering,Varsity Women's Track & Field,Varsity Volleyball,Aviation Club,ASME,Economics Club,Ultimate Frisbee,Electric Vehicles Club,ROS,Microsoft Excel,LaTeX,Communication,Experimental Design,1,
1,Female,Black,22,Swiss Federal Institute of Technology in Zurich,3.3,Computer Engineering,,,,Sorority,Varsity Volleyball,Aviation Club,Habitat for Humanity,AIAA,IEEE,,CAD,Communication,Simulink,Experimental Design,,1,
2,Female,White,37,University of Pennsylvania,3.6,Physics,University of Chicago,3.6,Aerospace Engineering,Varsity Women's Track & Field,Sorority,Rocket Club,IEEE,Electric Vehicles Club,Ultimate Frisbee,Economics Club,Coding,Communication,Simulation,Matlab,Microsoft Word,1,
3,Female,White,24,University of Wisconsin–Madison,3.3,Mechanical Engineering,,,,Varsity Women's Soccer,Varsity Volleyball,IEEE,Aviation Club,Habitat for Humanity,Student Government,,C++,Math,LaTeX,Simulink,,1,
4,Female,White,34,University of Wisconsin–Madison,3.4,Mathematics,,,,Varsity Women's Soccer,Varsity Women's Track & Field,Economics Club,Electric Vehicles Club,Ultimate Frisbee,Hacking Club,,Microsoft Word,Communication,Math,ROS,,1,
5,Female,White,35,University of Tokyo,3.7,Electrical Engineering,University of Oxford,3.7,Mechanical Engineering,Varsity Volleyball,Varsity Field Hockey,Ultimate Frisbee,IEEE,Engineers without Borders,Aviation Club,Robotics Club,Communication,Matlab,Presenting,Coding,Simulation,1,
6,Female,Unspecified,33,University of Tokyo,3.6,Aerospace Engineering,University of California Berkeley,3.7,Electrical Engineering,Varsity Field Hockey,Varsity Women's Soccer,IEEE,Hacking Club,Robotics Club,Habitat for Humanity,AIAA,Simulation,Python,ROS,Communication,CAD,1,
7,Female,Black,35,Swiss Federal Institute of Technology in Zurich,3.6,Computer Engineering,University of Chicago,3.7,Aerospace Engineering,Society of Women Engineers,Sorority,Engineers without Borders,Aviation Club,ASME,Economics Club,Ultimate Frisbee,C++,Simulation,CAD,Matlab,ROS,1,
8,Female,Other,34,Weizmann Institute of Science,3.5,Mathematics,Princeton University,3.7,Mechanical Engineering,Varsity Women's Track & Field,Varsity Women's Soccer,Economics Club,Ultimate Frisbee,AIAA,Habitat for Humanity,Aviation Club,Simulink,ROS,Presenting,Microsoft Excel,Robotics,1,
9,Female,Asian,23,University of California Berkeley,3.6,Computer Engineering,Columbia University,3.7,Computer Engineering,Society of Women Engineers,Sorority,Rocket Club,Electric Vehicles Club,Ultimate Frisbee,Aviation Club,Tau Beta Pi,Simulation,Microsoft Excel,Math,Python,Simulink,1,
