Person Number,Sex,Race,Age,Undergraduate School Name,Undergraduate GPA,Undergraduate Major,Graduate School Name,Graduate GPA,Graduate Major,Activity1,Activity2,Activity3,Activity4,Activity5,Activity6,Activity7,Skill1,Skill2,Skill3,Skill4,Skill5,Is Employed
0,Female,Black,35,Harvard University,3.6,Computer Engineering,Harvard University,3.7,Electrical Engineering,Society of Women Engineers,Varsity Women's Track & Field,AIAA,Electric Vehicles Club,Student Government,Aviation Club,Tau Beta Pi,Microsoft Word,Matlab,Presenting,Communication,Microsoft Excel,1,
1,Female,Hispanic,38,University of California San Francisco,3.2,Electrical Engineering,,,,Varsity Women's Track & Field,Varsity Field Hockey,Aviation Club,Engineers without Borders,Robotics Club,IEEE,,Microsoft Excel,LaTeX,Communication,Presenting,,1,
2,Female,Unspecified,39,University of Cambridge,3.7,Physics,California Institute of Technology,3.6,Physics,Varsity Field Hockey,Varsity Women's Track & Field,Hacking Club,Rocket Club,AIAA,Aviation Club,Tau Beta Pi,Microsoft Word,Matlab,Communication,C++,Microsoft Excel,1,
3,Female,Unspecified,23,Kyoto University,3.6,Mathematics,University of Cambridge,3.7,Electrical Engineering,Varsity Women's Soccer,Varsity Field Hockey,AIAA,Rocket Club,ASME,Aviation Club,Tau Beta Pi,CAD,Robotics,Simulink,Simulation,LaTeX,1,
4,Female,Other,23,University of California Los Angeles,3.4,Mechanical Engineering,,,,Varsity Volleyball,Varsity Women's Soccer,Engineers without Borders,Economics Club,Tau Beta Pi,ASME,,Presenting,Experimental Design,LaTeX,C++,,1,
5,Female,Unspecified,23,Johns Hopkins University,3.3,Mechanical Engineering,,,,Varsity Women's Soccer,Varsity Volleyball,Student Government,Ultimate Frisbee,Economics Club,AIAA,,LaTeX,Simulink,Microsoft Excel,Microsoft Word,,1,
6,Female,Hispanic,30,University of Oxford,3.7,Mechanical Engineering,Swiss Federal Institute of Technology in Zurich,3.5,Mathematics,Varsity Field Hockey,Society of Women Engineers,Rocket Club,Economics Club,Habitat for Humanity,Engineers without Borders,Hacking Club,LaTeX,C++,Matlab,Experimental Design,Math,1,
7,Female,Hispanic,25,Imperial College London,3.4,Computer Engineering,,,,Varsity Field Hockey,Varsity Women's Soccer,Aviation Club,ASME,Electric Vehicles Club,Engineers without Borders,,Robotics,Presenting,Communication,Math,,1,
8,Female,White,24,Johns Hopkins University,3.6,Electrical Engineering,Massachusetts Institute of Technology,3.6,Physics,Varsity Women's Soccer,Sorority,Engineers without Borders,Economics Club,Robotics Club,Hacking Club,Aviation Club,Communication,Matlab,Coding,CAD,Simulation,1,
9,Female,Unspecified,27,Weizmann Institute of Science,3.3,Computer Engineering,,,,Varsity Field Hockey,Society of Women Engineers,Electric Vehicles Club,IEEE,Habitat for Humanity,AIAA,,Matlab,Communication,Microsoft Excel,Coding,,1,
10,Female,Hispanic,29,Duke University,3.4,Electrical Engineering,,,,Varsity Women's Track & Field,Varsity Women's Soccer,Economics Club,Hacking Club,Tau Beta Pi,IEEE,,Matlab,Experimental Design,C++,Communication,,1,
11,Female,White,31,University of California Berkeley,3.4,Mechanical Engineering,,,,Varsity Women's Track & Field,Varsity Women's Soccer,Ultimate Frisbee,Robotics Club,Engineers without Borders,AIAA,,Presenting,Coding,C++,Robotics,,1,
12,Female,Asian,30,Johns Hopkins University,3.5,Aerospace Engineering,,,,Varsity Volleyball,Society of Women Engineers,Tau Beta Pi,Ultimate Frisbee,Student Government,Aviation Club,,Python,LaTeX,Experimental Design,Matlab,,1,
13,Female,Other,32,Harvard University,3.5,Computer Engineering,Harvard University,3.7,Physics,Sorority,Varsity Volleyball,Electric Vehicles Club,IEEE,Student Government,Engineers without Borders,AIAA,Matlab,Communication,Robotics,Python,ROS,1,
14,Female,White,34,Hebrew University of Jerusalem,3.2,Mechanical Engineering,,,,Sorority,Varsity Field Hockey,Hacking Club,Robotics Club,Electric Vehicles Club,Rocket Club,,CAD,Communication,Coding,Microsoft Excel,,1,
15,Female,Other,32,University of Chicago,3.5,Mechanical Engineering,Columbia University,3.6,Physics,Sorority,Varsity Volleyball,IEEE,Tau Beta Pi,Hacking Club,Electric Vehicles Club,Rocket Club,ROS,LaTeX,C++,Communication,Math,1,
16,Female,White,26,University of Cambridge,3.6,Electrical Engineering,University of Pennsylvania,3.6,Physics,Varsity Women's Track & Field,Varsity Volleyball,Ultimate Frisbee,Engineers without Borders,ASME,Rocket Club,AIAA,C++,Math,Simulation,Communication,Robotics,1,
17,Female,Hispanic,27,University of Tokyo,3.7,Electrical Engineering,Columbia University,3.7,Computer Engineering,Society of Women Engineers,Varsity Women's Soccer,Rocket Club,Robotics Club,Electric Vehicles Club,Ultimate Frisbee,Economics Club,Experimental Design,Microsoft Excel,CAD,LaTeX,Simulink,1,
18,Female,Black,24,University of California Berkeley,3.5,Physics,,,,Varsity Women's Track & Field,Varsity Women's Soccer,AIAA,Rocket Club,Tau Beta Pi,Hacking Club,,Coding,Simulation,C++,Simulink,,1,
19,Female,Asian,28,University of Pennsylvania,3.2,Electrical Engineering,,,,Varsity Women's Track & Field,Sorority,Habitat for Humanity,Economics Club,Engineers without Borders,Robotics Club,,Robotics,Matlab,Microsoft Excel,CAD,,1,
20,Female,Asian,30,Duke University,3.5,Mathematics,,,,Sorority,Varsity Field Hockey,Hacking Club,Aviation Club,Rocket Club,Student Government,,Simulink,CAD,Python,C++,,1,
21,Female,Hispanic,37,University of Texas Southwestern Medical Center,3.3,Mathematics,,,,Varsity Women's Soccer,Sorority,Habitat for Humanity,IEEE,AIAA,Rocket Club,,Matlab,C++,CAD,ROS,,1,
22,Female,Other,25,Swiss Federal Institute of Technology in Zurich,3.3,Aerospace Engineering,,,,Varsity Women's Soccer,Varsity Field Hockey,Tau Beta Pi,Engineers without Borders,Economics Club,Habitat for Humanity,,Experimental Design,Robotics,Communication,Presenting,,1,
23,Female,Hispanic,36,Cornell University,3.6,Mathematics,University of California Los Angeles,3.5,Mechanical Engineering,Varsity Volleyball,Varsity Women's Soccer,Aviation Club,Engineers without Borders,Electric Vehicles Club,Robotics Club,Tau Beta Pi,Robotics,Communication,Prototyping,Simulation,Python,1,
24,Female,Black,26,University of California San Francisco,3.4,Mathematics,,,,Varsity Women's Track & Field,Society of Women Engineers,Tau Beta Pi,Aviation Club,Rocket Club,Engineers without Borders,,Simulink,Presenting,Microsoft Excel,Robotics,,1,
25,Female,Asian,35,New York University,3.2,Mathematics,,,,Varsity Women's Soccer,Society of Women Engineers,Electric Vehicles Club,Aviation Club,Hacking Club,Student Government,,Coding,C++,Microsoft Excel,Python,,1,
26,Female,Other,37,Johns Hopkins University,3.4,Electrical Engineering,,,,Varsity Volleyball,Varsity Women's Track & Field,Economics Club,Aviation Club,Engineers without Borders,Student Government,,Presenting,Simulation,Simulink,Matlab,,1,
27,Female,Asian,36,Princeton University,3.5,Electrical Engineering,Stanford University,3.7,Aerospace Engineering,Varsity Volleyball,Varsity Women's Track & Field,Habitat for Humanity,IEEE,Engineers without Borders,Hacking Club,Ultimate Frisbee,Communication,Prototyping,Matlab,Microsoft Excel,Python,1,
28,Female,Black,38,University of California Los Angeles,3.4,Electrical Engineering,,,,Varsity Volleyball,Society of Women Engineers,Student Government,IEEE,Habitat for Humanity,Economics Club,,Microsoft Excel,Experimental Design,Robotics,Communication,,1,
29,Female,Hispanic,25,University of Tokyo,3.2,Electrical Engineering,,,,Sorority,Society of Women Engineers,Economics Club,AIAA,ASME,Aviation Club,,Microsoft Word,Communication,CAD,C++,,1,
30,Female,Asian,29,University of Tokyo,3.7,Aerospace Engineering,University of Cambridge,3.5,Computer Engineering,Varsity Field Hockey,Sorority,ASME,Electric Vehicles Club,Student Government,Aviation Club,Ultimate Frisbee,Microsoft Excel,Python,Experimental Design,Matlab,Simulation,1,
31,Female,White,34,Swiss Federal Institute of Technology in Zurich,3.2,Computer Engineering,,,,Varsity Women's Track & Field,Varsity Women's Soccer,Electric Vehicles Club,Student Government,Engineers without Borders,Aviation Club,,LaTeX,Microsoft Word,Matlab,ROS,,1,
32,Female,White,34,University of Illinois at Urbana–Champaign,3.2,Aerospace Engineering,,,,Varsity Field Hockey,Society of Women Engineers,AIAA,Ultimate Frisbee,Robotics Club,Electric Vehicles Club,,Coding,Microsoft Word,Matlab,Math,,1,
