Applicant_ID,Sex,Employment_Gaps,College_Club,Resume_Keywords,Education_Level,Years_Experience,Skills,Position_Level,Certifications,Programming_Languages,Project_Count,GPA,Hired
415,Male,0,Coding Society,achieved,Master's,8.0,system architecture,Mid,Google Analytics Certified,Python,4.0,3.35,1
606,Male,0,Coding Society,achieved,Bachelor's,9.0,software engineering,Entry,Certified Scrum Master,C++,8.0,3.09,1
750,Male,0,Tech Club,innovated,Master's,3.0,data analysis,Senior,Certified Scrum Master,Java,7.0,3.15,0
744,Male,0,Tech Club,strategic,Bachelor's,7.0,customer service,Entry,Certified Scrum Master,Java,5.0,3.95,1
926,Female,0,Tech Club,organized,Bachelor's,0.0,system architecture,Entry,Google Analytics Certified,Python,4.0,3.83,0
641,Male,0,Coding Society,led,Bachelor's,4.0,software engineering,Entry,Certified Scrum Master,JavaScript,11.0,3.4,0
560,Male,0,Student Council,achieved,Bachelor's,14.0,system architecture,Mid,Certified Scrum Master,None,0.0,4.0,1
174,Male,0,Fraternity,support,Bachelor's,2.0,machine learning,Mid,Google Analytics Certified,Python,3.0,2.83,0
820,Female,0,Women in Tech,collaborative,Bachelor's,9.0,customer service,Mid,AWS Certified,Java,9.0,3.53,1
303,Male,0,Tech Club,achieved,Master's,12.0,project management,Entry,PMP,Java,3.0,2.25,1
840,Female,1,Women in Tech,collaborative,Master's,4.0,project management,Entry,None,JavaScript,5.0,2.65,0
220,Male,1,Fraternity,strategic,Master's,4.0,software engineering,Mid,AWS Certified,Python,1.0,2.97,0
426,Male,0,Student Council,helped,Master's,3.0,project management,Entry,Certified Scrum Master,Python,6.0,3.43,0
300,Male,0,Coding Society,led,Master's,6.0,customer service,Entry,PMP,JavaScript,1.0,4.0,1
977,Female,0,Women in Tech,organized,Bachelor's,5.0,customer service,Mid,PMP,Java,9.0,3.08,0
993,Female,0,Community Service,support,Master's,5.0,machine learning,Entry,Certified Scrum Master,JavaScript,4.0,3.56,0
357,Male,0,Student Council,helped,Master's,8.0,system architecture,Mid,None,Python,2.0,3.9,1
556,Male,0,Tech Club,organized,Master's,1.0,system architecture,Senior,Google Analytics Certified,Java,6.0,3.57,0
769,Male,0,Fraternity,achieved,Bachelor's,10.0,machine learning,Mid,Certified Scrum Master,Java,5.0,4.0,1
88,Male,0,Tech Club,innovated,Bachelor's,9.0,machine learning,Mid,Google Analytics Certified,C++,3.0,3.33,1
60,Male,0,Coding Society,achieved,PhD,5.0,software engineering,Mid,PMP,C++,9.0,3.68,0
54,Male,1,Community Service,helped,Bachelor's,3.0,system architecture,Senior,None,Python,15.0,3.2,0
334,Male,0,Student Council,innovated,Bachelor's,6.0,system architecture,Entry,None,C++,4.0,3.19,0
91,Male,0,Student Council,innovated,Bachelor's,8.0,software engineering,Entry,PMP,JavaScript,12.0,3.96,1
604,Male,0,Fraternity,led,Bachelor's,7.0,system architecture,Entry,None,C++,9.0,3.84,0
271,Male,1,Coding Society,strategic,Bachelor's,8.0,machine learning,Senior,Certified Scrum Master,C++,6.0,3.51,0
919,Female,1,Women in Tech,support,Master's,4.0,data analysis,Entry,AWS Certified,Java,10.0,2.75,0
779,Male,0,Fraternity,achieved,Master's,11.0,system architecture,Mid,None,Python,2.0,4.0,1
102,Male,0,Student Council,achieved,Master's,11.0,machine learning,Mid,Google Analytics Certified,Java,8.0,2.65,1
467,Male,0,Student Council,led,Bachelor's,13.0,software engineering,Senior,Google Analytics Certified,Java,4.0,3.11,1
163,Male,0,Fraternity,led,Bachelor's,8.0,system architecture,Mid,PMP,Python,3.0,2.9,1
863,Female,0,Coding Society,organized,Bachelor's,12.0,customer service,Mid,Certified Scrum Master,Java,1.0,3.64,1
583,Male,0,Coding Society,achieved,Bachelor's,5.0,data analysis,Senior,Google Analytics Certified,Python,8.0,3.47,0
598,Male,0,Tech Club,achieved,Master's,1.0,system architecture,Mid,AWS Certified,C++,1.0,3.58,0
401,Male,0,Tech Club,led,Bachelor's,7.0,data analysis,Entry,Google Analytics Certified,Python,13.0,3.6,1
730,Male,0,Coding Society,achieved,Master's,7.0,system architecture,Entry,Certified Scrum Master,Python,15.0,3.7,1
772,Male,1,Community Service,led,PhD,8.0,software engineering,Mid,AWS Certified,JavaScript,11.0,2.92,1
291,Male,0,Fraternity,innovated,Bachelor's,6.0,project management,Mid,PMP,C++,3.0,3.28,0
554,Male,0,Community Service,helped,Master's,3.0,software engineering,Entry,PMP,JavaScript,8.0,2.59,0
354,Male,0,Coding Society,support,Master's,4.0,data analysis,Mid,Certified Scrum Master,SQL,1.0,3.56,0
591,Male,0,Coding Society,collaborative,PhD,11.0,data analysis,Senior,Google Analytics Certified,Python,12.0,3.77,1
987,Female,1,Community Service,led,Bachelor's,0.0,project management,Entry,Google Analytics Certified,Python,9.0,2.72,0
317,Male,0,Coding Society,led,Bachelor's,5.0,project management,Entry,Google Analytics Certified,Java,1.0,3.36,0
697,Male,0,Tech Club,innovated,PhD,6.0,machine learning,Mid,AWS Certified,C++,4.0,3.75,1
631,Male,0,Community Service,innovated,Master's,8.0,system architecture,Senior,Google Analytics Certified,SQL,6.0,3.01,1
211,Male,0,Fraternity,innovated,Bachelor's,8.0,software engineering,Mid,Google Analytics Certified,Java,14.0,3.04,1
132,Male,0,Fraternity,strategic,Master's,6.0,system architecture,Mid,PMP,JavaScript,5.0,3.6,1
878,Female,1,Community Service,collaborative,Master's,8.0,customer service,Entry,Certified Scrum Master,C++,6.0,3.67,1
493,Male,0,Tech Club,innovated,Master's,8.0,project management,Entry,Certified Scrum Master,SQL,6.0,4.0,1
762,Male,0,Community Service,strategic,Master's,7.0,software engineering,Mid,Certified Scrum Master,Java,10.0,3.79,1
448,Male,0,Community Service,strategic,Master's,5.0,project management,Senior,Google Analytics Certified,JavaScript,1.0,3.31,0
413,Male,2,Fraternity,achieved,Bachelor's,6.0,customer service,Entry,PMP,Python,4.0,3.76,0
790,Male,1,Coding Society,organized,PhD,8.0,customer service,Mid,AWS Certified,C++,18.0,3.58,1
310,Male,0,Community Service,led,Bachelor's,7.0,software engineering,Entry,PMP,Java,0.0,3.01,0
978,Female,0,Women in Tech,strategic,Master's,4.0,customer service,Mid,AWS Certified,C++,10.0,3.85,0
170,Male,0,Fraternity,led,Bachelor's,5.0,software engineering,Senior,PMP,C++,14.0,3.21,0
520,Male,0,Student Council,innovated,Bachelor's,7.0,system architecture,Mid,AWS Certified,JavaScript,11.0,2.82,0
434,Male,0,Coding Society,led,Bachelor's,9.0,system architecture,Mid,PMP,C++,8.0,2.76,1
228,Male,0,Fraternity,achieved,Bachelor's,5.0,project management,Mid,Google Analytics Certified,Python,3.0,4.0,0
306,Male,2,Community Service,led,Bachelor's,10.0,machine learning,Mid,AWS Certified,JavaScript,13.0,3.79,1
682,Male,0,Student Council,collaborative,Bachelor's,6.0,data analysis,Entry,AWS Certified,SQL,3.0,3.19,0
439,Male,0,Tech Club,achieved,PhD,4.0,software engineering,Mid,None,SQL,7.0,4.0,0
680,Male,1,Coding Society,achieved,Bachelor's,8.0,software engineering,Senior,PMP,Java,1.0,4.0,1
586,Male,0,Tech Club,innovated,Bachelor's,8.0,machine learning,Mid,PMP,C++,10.0,3.77,1
752,Male,1,Tech Club,innovated,PhD,5.0,system architecture,Entry,Certified Scrum Master,Python,4.0,3.44,0
899,Female,0,Women in Tech,support,Master's,9.0,software engineering,Mid,None,SQL,3.0,2.94,1
44,Male,1,Coding Society,strategic,Bachelor's,8.0,system architecture,Mid,Google Analytics Certified,Python,12.0,4.0,1
157,Male,0,Tech Club,strategic,PhD,6.0,system architecture,Mid,AWS Certified,JavaScript,1.0,3.73,1
706,Male,2,Tech Club,collaborative,Master's,6.0,software engineering,Entry,AWS Certified,JavaScript,7.0,2.85,0
146,Male,0,Community Service,collaborative,Bachelor's,4.0,system architecture,Entry,None,Python,7.0,3.73,0
78,Male,0,Coding Society,achieved,Bachelor's,8.0,software engineering,Entry,PMP,JavaScript,1.0,4.0,1
20,Male,0,Tech Club,innovated,Master's,5.0,system architecture,Mid,AWS Certified,SQL,9.0,4.0,1
954,Female,2,Community Service,support,Bachelor's,3.0,customer service,Mid,PMP,Java,6.0,3.37,0
857,Female,0,Student Council,collaborative,Bachelor's,5.0,system architecture,Mid,AWS Certified,SQL,9.0,3.84,0
883,Female,0,Community Service,collaborative,PhD,6.0,customer service,Senior,None,JavaScript,8.0,3.46,0
11,Male,0,Tech Club,strategic,Master's,7.0,software engineering,Entry,PMP,Python,0.0,3.41,1
37,Male,0,Fraternity,strategic,Bachelor's,2.0,system architecture,Mid,Certified Scrum Master,Python,9.0,4.0,0
298,Male,0,Tech Club,strategic,Bachelor's,13.0,machine learning,Senior,Google Analytics Certified,JavaScript,1.0,3.71,1
659,Male,0,Fraternity,led,Master's,6.0,software engineering,Senior,PMP,C++,2.0,3.83,1
968,Female,0,Women in Tech,support,Bachelor's,2.0,machine learning,Mid,PMP,JavaScript,3.0,4.0,0
109,Male,0,Coding Society,led,Master's,4.0,system architecture,Mid,PMP,Python,16.0,3.21,0
947,Female,0,Women in Tech,support,Master's,5.0,machine learning,Entry,Certified Scrum Master,JavaScript,4.0,3.28,0
851,Female,0,Women in Tech,helped,Bachelor's,4.0,customer service,Mid,None,C++,6.0,3.66,0
913,Female,1,Student Council,helped,Bachelor's,7.0,data analysis,Entry,PMP,Python,4.0,3.05,0
623,Male,0,Coding Society,achieved,Bachelor's,7.0,system architecture,Senior,AWS Certified,JavaScript,7.0,3.0,0
297,Male,0,Tech Club,led,Master's,0.0,software engineering,Mid,PMP,JavaScript,7.0,4.0,0
18,Male,0,Coding Society,support,Bachelor's,5.0,system architecture,Entry,PMP,Python,6.0,4.0,0
566,Male,0,Fraternity,led,Master's,2.0,software engineering,Entry,Certified Scrum Master,Java,15.0,3.54,0
971,Female,1,Tech Club,collaborative,PhD,3.0,data analysis,Entry,Google Analytics Certified,SQL,17.0,3.29,0
43,Male,0,Fraternity,achieved,Bachelor's,8.0,system architecture,Entry,AWS Certified,Python,0.0,3.79,1
621,Male,0,Fraternity,innovated,Master's,1.0,system architecture,Entry,PMP,Python,0.0,2.82,0
201,Male,0,Community Service,organized,Master's,8.0,software engineering,Senior,Google Analytics Certified,Python,6.0,4.0,1
433,Male,0,Fraternity,organized,Master's,10.0,machine learning,Mid,Google Analytics Certified,C++,6.0,4.0,1
628,Male,0,Coding Society,innovated,Master's,5.0,system architecture,Mid,Certified Scrum Master,Python,12.0,3.01,0
693,Male,0,Fraternity,strategic,Master's,5.0,software engineering,Senior,Google Analytics Certified,Java,13.0,3.16,0
492,Male,0,Fraternity,led,Master's,6.0,machine learning,Entry,Certified Scrum Master,Python,3.0,3.95,0
617,Male,0,Student Council,led,Master's,2.0,system architecture,Mid,PMP,Java,1.0,2.96,0
503,Male,0,Tech Club,achieved,PhD,6.0,data analysis,Mid,PMP,Python,13.0,3.74,1
142,Male,0,Fraternity,achieved,PhD,10.0,software engineering,Senior,Certified Scrum Master,C++,3.0,4.0,1
895,Female,1,Community Service,innovated,Master's,6.0,project management,Mid,Google Analytics Certified,SQL,14.0,4.0,1
441,Male,0,Student Council,achieved,Bachelor's,8.0,system architecture,Entry,PMP,Java,12.0,3.45,0
282,Male,0,Coding Society,led,Bachelor's,8.0,data analysis,Entry,None,C++,9.0,2.43,0
239,Male,0,Student Council,strategic,Master's,9.0,system architecture,Entry,PMP,Java,10.0,3.53,1
266,Male,0,Tech Club,innovated,Bachelor's,8.0,software engineering,Senior,PMP,JavaScript,5.0,3.71,1
199,Male,1,Coding Society,achieved,Bachelor's,7.0,data analysis,Entry,PMP,SQL,2.0,2.81,0
191,Male,0,Tech Club,led,Bachelor's,9.0,software engineering,Mid,Certified Scrum Master,C++,2.0,3.77,1
710,Male,0,Coding Society,led,PhD,12.0,software engineering,Mid,PMP,C++,12.0,3.01,1
323,Male,0,Community Service,innovated,Master's,6.0,system architecture,Mid,PMP,Java,3.0,3.82,1
510,Male,0,Community Service,support,Bachelor's,9.0,machine learning,Senior,Google Analytics Certified,Python,6.0,3.53,1
759,Male,1,Tech Club,innovated,Bachelor's,7.0,system architecture,Mid,PMP,Python,1.0,3.73,1
755,Male,0,Student Council,helped,Bachelor's,10.0,software engineering,Entry,PMP,Python,6.0,3.45,1
118,Male,0,Community Service,innovated,Bachelor's,11.0,software engineering,Senior,AWS Certified,Java,10.0,3.07,1
445,Male,1,Community Service,achieved,PhD,13.0,data analysis,Senior,PMP,JavaScript,5.0,3.94,1
422,Male,0,Coding Society,strategic,Master's,4.0,software engineering,Entry,PMP,C++,3.0,3.95,0
34,Male,1,Tech Club,organized,Bachelor's,9.0,software engineering,Senior,None,JavaScript,11.0,3.41,1
309,Male,0,Fraternity,strategic,Bachelor's,6.0,customer service,Mid,Certified Scrum Master,Java,13.0,3.49,0
832,Female,0,Community Service,helped,Master's,3.0,data analysis,Entry,None,JavaScript,8.0,4.0,0
371,Male,0,Student Council,innovated,Bachelor's,2.0,software engineering,Mid,Certified Scrum Master,Python,4.0,3.6,0
104,Male,0,Student Council,innovated,Bachelor's,7.0,customer service,Mid,Certified Scrum Master,JavaScript,11.0,3.48,1
663,Male,0,Student Council,led,Bachelor's,6.0,software engineering,Mid,Google Analytics Certified,Python,3.0,3.77,1
178,Male,0,Tech Club,innovated,Master's,3.0,data analysis,Mid,AWS Certified,Java,3.0,2.84,0
355,Male,0,Fraternity,innovated,Bachelor's,12.0,data analysis,Entry,Certified Scrum Master,SQL,12.0,4.0,1
212,Male,0,Fraternity,collaborative,Master's,7.0,machine learning,Senior,PMP,Python,4.0,4.0,1
287,Male,0,Tech Club,organized,Bachelor's,9.0,software engineering,Entry,Google Analytics Certified,Java,1.0,4.0,1
838,Female,0,Women in Tech,strategic,Bachelor's,5.0,customer service,Senior,PMP,Java,3.0,3.3,0
76,Male,0,Fraternity,support,Master's,13.0,system architecture,Entry,Certified Scrum Master,Java,7.0,3.65,1
226,Male,0,Coding Society,achieved,Master's,10.0,machine learning,Entry,None,C++,8.0,2.78,1
221,Male,0,Student Council,innovated,Master's,9.0,system architecture,Mid,Certified Scrum Master,SQL,10.0,3.34,1
874,Female,0,Student Council,support,Master's,1.0,software engineering,Mid,AWS Certified,C++,4.0,3.27,0
804,Female,1,Women in Tech,organized,PhD,11.0,customer service,Mid,AWS Certified,Java,7.0,3.71,1
959,Female,0,Community Service,collaborative,Bachelor's,4.0,customer service,Senior,Google Analytics Certified,Python,6.0,3.03,0
409,Male,1,Coding Society,organized,Bachelor's,8.0,data analysis,Entry,Google Analytics Certified,SQL,11.0,4.0,1
336,Male,0,Coding Society,led,Master's,5.0,machine learning,Entry,AWS Certified,Java,5.0,3.11,0
28,Male,0,Community Service,organized,Master's,11.0,machine learning,Mid,Google Analytics Certified,C++,12.0,3.86,1
299,Male,0,Coding Society,strategic,Bachelor's,10.0,system architecture,Entry,Google Analytics Certified,Python,7.0,3.81,1
487,Male,0,Fraternity,achieved,Bachelor's,5.0,customer service,Senior,Certified Scrum Master,Python,0.0,3.53,0
315,Male,1,Fraternity,organized,Bachelor's,7.0,machine learning,Senior,PMP,C++,1.0,3.1,0
472,Male,2,Coding Society,organized,Master's,5.0,system architecture,Entry,Google Analytics Certified,Java,0.0,4.0,0
358,Male,0,Fraternity,strategic,Bachelor's,8.0,software engineering,Mid,Certified Scrum Master,Python,8.0,4.0,1
729,Male,0,Community Service,led,Bachelor's,0.0,software engineering,Senior,PMP,Python,3.0,3.49,0
124,Male,0,Community Service,achieved,Bachelor's,7.0,system architecture,Mid,Certified Scrum Master,Java,3.0,3.23,0
648,Male,0,Community Service,achieved,Bachelor's,9.0,software engineering,Mid,PMP,SQL,2.0,3.23,1
975,Female,0,Women in Tech,collaborative,Bachelor's,8.0,project management,Mid,Google Analytics Certified,Python,3.0,4.0,1
958,Female,0,Women in Tech,organized,Bachelor's,4.0,software engineering,Senior,Google Analytics Certified,Python,5.0,3.12,0
811,Female,2,Community Service,collaborative,Master's,11.0,software engineering,Mid,Google Analytics Certified,Java,0.0,4.0,1
374,Male,0,Fraternity,achieved,Master's,13.0,software engineering,Entry,AWS Certified,JavaScript,1.0,2.7,1
742,Male,0,Coding Society,led,Master's,8.0,machine learning,Mid,Google Analytics Certified,Java,1.0,3.47,1
80,Male,0,Student Council,innovated,PhD,3.0,project management,Mid,Certified Scrum Master,C++,7.0,2.77,0
364,Male,0,Coding Society,achieved,Bachelor's,0.0,data analysis,Entry,PMP,C++,5.0,3.9,0
410,Male,0,Community Service,achieved,Bachelor's,10.0,software engineering,Senior,PMP,Python,8.0,3.78,1
658,Male,0,Fraternity,support,Master's,2.0,system architecture,Mid,Certified Scrum Master,C++,9.0,3.39,0
817,Female,0,Women in Tech,support,Bachelor's,6.0,data analysis,Mid,Certified Scrum Master,JavaScript,7.0,3.84,0
579,Male,0,Coding Society,led,Master's,6.0,system architecture,Senior,PMP,C++,6.0,4.0,1
193,Male,1,Fraternity,innovated,PhD,5.0,machine learning,Senior,Google Analytics Certified,SQL,9.0,2.61,0
162,Male,0,Tech Club,innovated,Bachelor's,14.0,system architecture,Entry,Certified Scrum Master,Python,3.0,4.0,1
564,Male,0,Fraternity,strategic,Bachelor's,12.0,system architecture,Senior,Google Analytics Certified,Java,9.0,2.82,1
718,Male,2,Coding Society,organized,Bachelor's,11.0,system architecture,Entry,Google Analytics Certified,Java,0.0,3.94,1
9,Male,0,Tech Club,strategic,Master's,6.0,software engineering,Entry,Certified Scrum Master,Java,1.0,3.93,1
796,Male,1,Tech Club,achieved,Master's,9.0,system architecture,Entry,Certified Scrum Master,Python,2.0,4.0,1
200,Male,0,Tech Club,led,Bachelor's,1.0,software engineering,Mid,Certified Scrum Master,SQL,6.0,3.35,0
845,Female,0,Student Council,support,Bachelor's,5.0,machine learning,Entry,AWS Certified,Python,7.0,3.83,0
384,Male,1,Fraternity,achieved,Bachelor's,11.0,software engineering,Mid,PMP,Java,4.0,3.57,1
849,Female,0,Student Council,support,Master's,0.0,customer service,Mid,PMP,SQL,10.0,3.35,0
